setting,id,n_states,n_questions,total_question_chars,total_question_tokens,mean_question_chars,rubric_points,final_correct,expected_answer,final_response_chars,path_length,displacement,spiral_ratio,max_radius,mean_radius,radial_growth,radial_volatility,return_fraction,local_excess_mean,local_excess_total,turn_curvature,efficiency
AskMind,5520d8ba80a9358b998ca73569999642bf664ce6e4b29ec726f876e3413e4184,2,1,185,29,185.0,3,1,16,697,0.6931852158347473,0.6931852158347473,1.0,0.6931852158347473,0.3465926079173737,0.6931852158347473,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,779cb8a9ce5fc8408050703ebf2068fade636e7354cd2f988904d0d159aa66fa,2,1,80,15,80.0,3,1,93,718,0.46236206048097095,0.46236206048097095,1.0,0.46236206048097095,0.23118103024048547,0.46236206048097095,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,3a1ec0f3e78a0772be26cfe3814fa7663782204f7e138751227aa6572bef0932,2,1,252,46,252.0,3,1,90,7434,0.6795624078093484,0.6795624078093484,1.0,0.6795624078093484,0.3397812039046742,0.6795624078093484,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,e707fc8648c2876d18becdfcd73d5660c6a12d42d329039b76e80bd7a041c076,2,1,221,40,221.0,3,1,17,3421,0.6493870585512173,0.6493870585512173,1.0,0.6493870585512173,0.32469352927560863,0.6493870585512173,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,942d51d28caac7d5e9f09a89ab75810064ff3e87fcaa51f4d4649a318c5dfd96,2,1,166,27,166.0,4,1,1524,3737,0.6705026150075428,0.6705026150075428,1.0,0.6705026150075428,0.3352513075037714,0.6705026150075428,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,9e499a346e71781cdc517d01487f9f73f824c7ff87f4e07882b5139ab8f3ef08,2,1,213,34,213.0,5,1,768,754,0.8658628559270732,0.8658628559270732,1.0,0.8658628559270732,0.4329314279635366,0.8658628559270732,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,1e675938ecf2deecb3a43bcbf72545f8e2269a7276cf563eb7aa17c36142a0c0,2,1,118,23,118.0,3,1,1005,932,0.753847907577359,0.753847907577359,1.0,0.753847907577359,0.3769239537886795,0.753847907577359,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,e4cbe39d2e5a192216416db1809426a9d7e6e6bbb99541b0054c0dc209b77aa4,2,1,327,54,327.0,3,1,36,8750,0.33271951515246134,0.33271951515246134,1.0,0.33271951515246134,0.16635975757623067,0.33271951515246134,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,ddd41d4fe8def96b1a96c4f6d52f34f8c73404e5207dbb7bc2a83e6f5f1eecff,2,1,215,39,215.0,3,1,25,12529,0.5897852635385165,0.5897852635385165,1.0,0.5897852635385165,0.29489263176925823,0.5897852635385165,0.0,0.0,0.0,0.0,0.0,1.0
AskMind,5eee7bb5c74e2272f4dcf7a73d2521399a42487fcbb29313f7567e1d1a6b3701,2,1,292,53,292.0,3,1,50,8616,0.6814555069899324,0.6814555069899324,1.0,0.6814555069899324,0.3407277534949662,0.6814555069899324,0.0,0.0,0.0,0.0,0.0,1.0
